NO-CODE AUTOMATION OPPORTUNITY MAP - Worksheet 1: Process Inventory
Instructions: List every repetitive task across your business. Be thorough—nothing is too small.

Task Name,Frequency,Time Per Task,Monthly Hours,Boredom Factor (1-5),Current Tool(s),Notes
"Example: Lead data entry from Typeform to CRM",Daily,"15 min",6,5,"Typeform → Manual → Salesforce","High error rate"
"Example: Invoice approval routing",Weekly,"30 min",2,4,"Email → Manual → QuickBooks","Often delayed"
"Example: Social media scheduling",Weekly,"1 hour",4,3,"Google Calendar → Buffer","Inconsistent"
[Your Task],,,2,,,
[Your Task],,,2,,,
[Your Task],,,2,,,
[Your Task],,,2,,,
[Your Task],,,2,,,
[Your Task],,,2,,,
[Your Task],,,2,,,
[Your Task],,,2,,,
[Your Task],,,2,,,
[Your Task],,,2,,,
[Your Task],,,2,,,
[Your Task],,,2,,,
